front,rooms,lounges,bathrooms,streetWidth,stairs,propertyAge,driverRoom,tent,patio,kitchen,outdoorRoom,garage,duplex,space,apartments,maidRoom,elevator,furnihsed,pool,basement,neighbourhood,location,price,square price
شمالية غربية,4,3,4,30,0,0,1,0,1,1,0,1,0,1750,0,1,1,1,1,1, حطين ,شمال الرياض,30000000,17142.85714
ثلاث شوارع,4,4,4,20,0,6,1,1,1,1,1,1,0,3900,0,1,1,1,1,1, حطين ,شمال الرياض,55000000,14102.5641
جنوبية شرقية,5,2,5+,15,1,6,1,0,1,1,1,1,0,625,2,1,1,0,0,1, حطين ,شمال الرياض,6000000,9600
شمالية,4,3,3,15,0,0,0,0,0,1,0,0,0,325,0,1,1,0,1,0, حطين ,شمال الرياض,4300000,13230.76923
جنوبية,5,3,5+,20,1,30,1,0,1,1,1,1,0,1400,0,1,0,0,0,0, حطين ,شمال الرياض,8500000,6071.428571
غربية,5,1,4,15,1,0,1,0,1,1,1,1,0,405,1,1,1,0,1,0, حطين ,شمال الرياض,5000000,12345.67901
شرقية,5,2,5+,31,0,0,1,1,1,1,1,1,0,1750,0,1,1,1,1,1, حطين ,شمال الرياض,28000000,16000
ثلاث شوارع,5,5,5+,20,0,8,1,0,0,1,1,1,0,5100,0,1,0,0,0,0, حطين ,شمال الرياض,60000000,11764.70588
شرقية,5,5,5+,20,1,0,1,1,1,1,1,1,0,2800,0,1,1,0,1,1, حطين ,شمال الرياض,23000000,8214.285714
غربية,5,1,5+,20,1,6,1,0,1,1,1,1,0,488,1,1,0,0,1,0, حطين ,شمال الرياض,5000000,10245.90164
شرقية,5,3,5+,15,1,0,1,0,1,1,1,1,0,427,0,1,1,0,1,1, حطين ,شمال الرياض,6500000,15222.48244
شمالية شرقية,4,3,4,25,1,0,1,0,1,1,1,1,0,500,0,1,1,0,1,0, حطين ,شمال الرياض,7000000,14000
ثلاث شوارع,4,3,5+,28,1,6,1,0,1,1,1,1,0,2280,0,1,1,0,1,0, حطين ,شمال الرياض,17000000,7456.140351
غربية,5,3,5+,20,1,0,1,0,1,1,1,1,0,816,0,1,1,0,1,0, حطين ,شمال الرياض,8500000,10416.66667
غربية,7,4,5+,15,1,9,1,0,1,1,1,1,0,810,2,1,0,1,0,0, حطين ,شمال الرياض,8000000,9876.54321
جنوبية غربية,7,5,5+,15,1,2,1,0,1,1,1,1,0,1000,0,1,1,0,1,1, حطين ,شمال الرياض,14000000,14000
غربية,7,4,5+,15,1,9,1,0,1,1,1,1,0,810,2,1,0,1,0,0, حطين ,شمال الرياض,8000000,9876.54321
جنوبية شرقية,5,2,4,20,1,0,1,0,1,1,1,1,0,1034,3,0,1,0,0,0, المعذر ,غرب الرياض,10000000,9671.179884
جنوبية غربية,6,4,5+,25,1,0,1,0,1,1,1,1,0,600,0,1,1,0,0,0, حطين ,شمال الرياض,8000000,13333.33333
غربية,4,3,4,28,1,0,1,0,1,1,1,1,0,700,0,1,1,0,1,0, حطين ,شمال الرياض,6800000,9714.285714
جنوبية,4,3,4,20,1,0,1,0,1,1,1,1,0,600,0,1,1,0,1,0, حطين ,شمال الرياض,7000000,11666.66667
غربية,4,3,4,28,1,0,1,0,1,1,1,1,0,700,0,1,1,0,1,0, حطين ,شمال الرياض,6800000,9714.285714
شمالية,4,3,4,20,1,0,1,0,1,1,1,1,0,1000,0,1,1,0,1,0, حطين ,شمال الرياض,15000000,15000
شرقية,5,4,4,15,1,0,1,0,1,1,1,1,0,1375,0,1,1,0,1,0,ى التنوخي ,شمال الرياض,11700000,8509.090909
شمالية,4,3,4,20,1,0,1,0,1,1,1,1,0,1000,0,1,1,0,1,0, حطين ,شمال الرياض,14500000,14500
شمالية,5,3,5+,20,1,0,1,0,0,1,1,1,0,1000,0,1,1,0,1,0, حطين ,شمال الرياض,15000000,15000
شمالية شرقية,5,3,5+,21,1,20,1,0,1,1,1,1,0,900,1,1,1,0,0,0, حطين ,شمال الرياض,6000000,6666.666667
شرقية,4,4,4,25,1,0,1,1,1,1,1,1,1,500,0,1,1,1,1,0, حطين ,شمال الرياض,6800000,13600
شمالية,5,3,5+,20,1,0,1,0,0,1,1,1,0,1000,0,1,1,0,1,0, حطين ,شمال الرياض,15000000,15000
شمالية غربية,6,2,5+,15,1,0,1,1,1,1,0,1,0,734,0,1,1,0,1,0, حطين ,شمال الرياض,9000000,12261.58038
جنوبية,6,2,5+,20,0,0,1,0,1,1,1,1,0,600,0,1,1,0,1,0, حطين ,شمال الرياض,7000000,11666.66667
جنوبية,6,2,5+,20,0,0,1,0,1,1,1,1,0,600,0,1,1,0,1,0, حطين ,شمال الرياض,7000000,11666.66667
شمالية شرقية,7,3,5+,25,1,0,1,1,1,1,1,1,0,700,0,1,1,0,1,0, حطين ,شمال الرياض,11000000,15714.28571
شرقية,7,3,5+,25,1,0,1,1,1,1,1,1,0,500,0,1,1,0,1,0, حطين ,شمال الرياض,7000000,14000
جنوبية,6,3,5+,15,1,0,1,0,1,1,0,1,0,561,0,0,1,0,1,0, حطين ,شمال الرياض,6500000,11586.45276
شرقية,7,3,5+,25,1,0,1,1,1,1,1,1,0,500,0,1,1,0,1,0, حطين ,شمال الرياض,7000000,14000
